date;user_count;weekly citywide penetration rate;amount of movements;average distance;Modularity;Residential;Radius of Gyration
2020-08-13 00:00:00;2389635;0,035412493;7354378;4,610174615;0,928682881;79,20300574;8,323152437
2020-08-14 00:00:00;2399239;0,035554816;7732269;4,702279611;0,926125194;79,00948225;8,57495102
2020-08-15 00:00:00;1972895;0,029236737;6687841;4,481159242;0,944406059;80,83694702;9,380531885
2020-08-16 00:00:00;2032400;0,030118554;5862249;4,703450633;0,938084334;80,8077918;9,59131386
2020-08-17 00:00:00;2378564;0,035248429;6832254;4,770406287;0,929312823;78,99303019;8,540050447
2020-08-18 00:00:00;2363727;0,035028557;7202568;4,635460414;0,927993556;79,08320139;8,277166225
2020-08-19 00:00:00;2387109;0,035375059;7324274;4,521456153;0,929930169;79,34471847;8,100597846
2020-08-20 00:00:00;2366213;0,035065397;7064374;4,609750972;0,930357591;79,17211158;8,36439975
2020-08-21 00:00:00;2368902;0,035105246;7096285;4,70860299;0,931024392;79,4184194;8,628342553
2020-08-22 00:00:00;2267446;0,033601749;5916914;4,161826421;0,941841252;80,6902722;8,847741838
2020-08-23 00:00:00;2185854;0,03239262;5267948;4,053531663;0,947818621;80,90260807;8,463468324
2020-08-24 00:00:00;2371202;0,03513933;7135733;4,52807114;0,931264164;79,30542738;8,145855371
2020-08-25 00:00:00;2314392;0,034297451;5642911;4,879686649;0,931174278;79,62883239;8,758781218
2020-08-26 00:00:00;2204682;0,032671636;4871299;4,521456153;0,925766138;79,72352538;8,142605196
2020-08-27 00:00:00;2311226;0,034250533;6436075;4,812127628;0,926829608;79,39468585;8,770684661
2020-08-28 00:00:00;2368902;0,035105246;7096285;4,70860299;0,931024392;79,4184194;8,670349063
2020-08-29 00:00:00;2238412;0,033171488;5652103;4,935406909;0,930208179;80,5635555;10,28219281
2020-08-30 00:00:00;2151540;0,031884114;5091689;5,023381016;0,939507176;81,00302798;10,25120283
2020-08-31 00:00:00;2371202;0,03513933;7135733;4,52807114;0,931264164;79,30542738;8,187860621
2020-09-01 00:00:00;2314392;0,034297451;5642911;4,879686649;0,931174278;79,62883239;8,800786048
2020-09-02 00:00:00;2274385;0,033704579;5935564;4,994657599;0,926231983;79,1756332;9,036372208
2020-09-03 00:00:00;2389635;0,035412493;7354378;4,610174615;0,928682881;79,20300574;8,449173227
2020-09-04 00:00:00;2399239;0,035554816;7732269;4,702279611;0,926125194;79,00948225;8,70097055
2020-09-05 00:00:00;1972895;0,029236737;5652103;4,935406909;0,944406059;80,83694702;10,32419596
2020-09-06 00:00:00;2032400;0,030118554;5091689;5,023381016;0,938084334;80,8077918;10,29320556
2020-09-07 00:00:00;2378564;0,035248429;6832254;4,770406287;0,929312823;78,99303019;8,666066197
2020-09-08 00:00:00;2363727;0,035028557;6953649;4,672641421;0,927993556;79,08320139;8,470106528
